,id,namesFormula,EC,deltaMass
8474,R00807,C00016 -> C01352,['1.1.99.13'],2.0159
8475,R00812,C00003 -> C00004,['1.3.1.19'],1.008
8476,R00813,C00003 -> C00004,['1.3.1.25'],1.008
8477,R00814,C00005 -> C00006,['1.3.1.20'],1.008
8478,R00815,C00005 -> C00006,['1.14.13.7'],1.008
8479,R00818,C00003 -> C00004,['1.14.13.1'],1.008
8480,R00823,C00003 -> C00004,['1.14.12.1'],1.008
8481,R00825,C00005 -> C00006,['1.14.12.1'],1.008
8482,R00828,C00005 -> C00006,['1.14.13.31'],1.008
8483,R00834,C00005 -> C00006,['1.1.1.200'],1.008
8484,R00835,C00005 -> C00006,"['1.1.1.49', '1.1.1.363']",1.008
8485,R00836,C00029 -> C00689,['2.4.1.15'],144.0254
8486,R00842,C00003 -> C00004,"['1.1.1.8', '1.1.1.94']",1.008
8487,R00844,C00005 -> C00006,['1.1.1.94'],1.008
8488,R00845,C00005 -> C00006,['1.1.1.177'],1.008
8489,R00846,C00007 -> C00027,['1.1.3.21'],2.0159
8490,R00847,C00002 -> C00008,['2.7.1.30'],79.9799
8491,R00848,C00016 -> C01352,['1.1.5.3'],2.0159
8492,R00851,C00010 -> C00040,['2.3.1.15'],27.0089
8493,R00851,C00093 -> C00681,[],27.0013
8494,R00858,C00005 -> C00006,['1.8.1.2'],1.008
8495,R00858,C00094 -> C00283,[],47.9982
8496,R00859,C00094 -> C00283,['1.8.7.1'],47.9982
8497,R00860,C00020 -> C00224,['1.8.99.2'],80.0632
8498,R00860,C00094 -> C00224,[],345.2053
8499,R00861,C00094 -> C00283,['1.8.99.5'],47.9982
8500,R00864,C00094 -> C00320,[],31.057
8501,R00864,C00087 -> C00320,[],81.0711
8502,R00866,C00002 -> C00008,['2.7.1.3'],79.9799
8503,R00867,C00002 -> C00008,"['2.7.1.1', '2.7.1.4']",79.9799
8504,R00868,C00003 -> C00004,"['1.1.1.11', '1.1.1.67']",1.008
8505,R00870,C00005 -> C00006,['1.1.1.138'],1.008
8506,R00871,C00005 -> C00006,['1.1.1.124'],1.008
8507,R00872,C00095 -> C03267,['3.1.3.-'],79.9799
8508,R00874,C00031 -> C00198,['1.1.99.28'],2.0159
8509,R00875,C00003 -> C00004,"['1.1.1.14', '1.1.1.15']",1.008
8510,R00880,C00003 -> C00004,['1.1.1.132'],1.008
8511,R00890,C00035 -> C00096,['2.4.1.-'],162.1406
