,id,namesFormula,EC,deltaMass
0,R00006,C00022 -> C00900,['2.2.1.6'],44.0525
1,R00008,C00022 -> C06033,['4.1.3.17'],88.062
2,R00010,C00031 -> C01083,['3.2.1.28'],162.1406
3,R00012,C00044 -> C01261,['2.7.7.45'],345.2054
4,R00013,C00048 -> C01146,['4.1.1.47'],30.026
5,R00014,C00068 -> C05125,"['4.1.1.1', '2.2.1.6', '1.2.4.1']",44.0525
6,R00014,C00022 -> C05125,"['4.1.1.1', '2.2.1.6', '1.2.4.1']",381.3048
7,R00015,C00031 -> C00089,['2.4.1.99'],162.1406
8,R00015,C00089 -> C03661,['2.4.1.99'],162.1406
9,R00018,C00134 -> C06366,['2.5.1.44'],71.1209
10,R00021,C00025 -> C00026,['1.4.7.1'],1.0312
11,R00021,C00025 -> C00064,['1.4.7.1'],0.9848
12,R00022,C00140 -> C01674,['3.2.1.52'],203.1925
13,R00024,C00197 -> C01182,['4.1.1.39'],124.0325
14,R00025,C00088 -> C18091,"['1.13.12.16', '1.13.11.32']",27.0453
15,R00025,C00084 -> C18091,"['1.13.12.16', '1.13.11.32']",30.0061
16,R00026,C00185 -> C00221,['3.2.1.21'],162.1406
17,R00027,C00261 -> C01408,['4.1.2.38'],106.122
18,R00028,C00208 -> C00267,"['3.2.1.20', '3.2.1.3']",162.1406
19,R00031,C00082 -> C00355,"['1.10.3.1', '1.14.18.1']",15.9994
20,R00032,C00376 -> C02094,"['1.13.11.63', '1.14.99.36']",252.4369
21,R00033,C00378 -> C05856,['1.1.3.23'],2.0159
22,R00036,C00430 -> C00931,['4.2.1.24'],95.0993
23,R00038,C00479 -> C02948,['4.1.2.35'],58.0792
24,R00039,C00492 -> C08242,['2.4.1.166'],162.1406
25,R00039,C00089 -> C00492,['2.4.1.166'],162.1406
26,R00042,C00642 -> C01179,['1.2.3.13'],28.0101
27,R00043,C00755 -> C04547,['1.13.11.43'],120.1485
28,R00044,C00757 -> C01795,['1.21.3.2'],2.0159
29,R00045,C00355 -> C00822,"['1.10.3.1', '1.14.18.1']",2.0158
30,R00048,C01089 -> C04546,['3.1.1.22'],86.0893
31,R00049,C00031 -> C01158,['2.3.1.90'],152.1042
32,R00049,C01158 -> C04101,['2.3.1.90'],152.1043
33,R00053,C01424 -> C01572,['3.1.1.20'],152.1043
34,R00054,C01839 -> C02868,['3.1.1.40'],150.1315
35,R00055,C00294 -> C01993,['1.1.3.28'],2.0159
36,R00058,C00090 -> C02351,"['1.10.3.1', '1.14.18.1']",2.0158
37,R00059,C01255 -> C02378,['3.5.1.46'],113.1577
38,R00060,C00495 -> C03036,['1.21.3.4'],2.0158
39,R00061,C00495 -> C03040,['1.21.3.5'],2.0158
40,R00062,C03374 -> C05787,['2.4.1.95'],176.1241
41,R00062,C00486 -> C03374,['2.4.1.95'],176.1242
42,R00063,C00031 -> C01175,['2.3.1.103'],206.1947
43,R00063,C01175 -> C04275,['2.3.1.103'],206.1947
44,R00066,C04332 -> C04732,['2.5.1.9'],50.0587
45,R00066,C00255 -> C04332,['2.5.1.9'],50.0587
46,R00068,C00072 -> C05422,['1.10.3.3'],2.0159
47,R00069,C03680 -> C05565,['1.17.3.2'],15.9994
48,R00072,C02892 -> C05856,['1.1.3.23'],15.9994
49,R00073,C00427 -> C05956,['1.14.99.1'],15.9994
50,R00074,C01987 -> C02161,['1.10.3.4'],103.0782
51,R00075,C00019 -> C00170,['2.5.1.43'],101.1039
52,R00080,C00090 -> C03861,"['1.1.3.14', '1.10.3.1']",104.063
53,R00084,C00931 -> C01024,['2.5.1.61'],628.5806
54,R00093,C00025 -> C00026,"['1.4.1.14', '1.4.1.13']",1.0312
55,R00093,C00025 -> C00064,"['1.4.1.14', '1.4.1.13']",0.9848
56,R00094,C00051 -> C00127,['1.8.1.7'],305.3076
57,R00097,C00541 -> C00992,"['1.16.1.3', '1.5.1.41']",18.0153
58,R00099,C00541 -> C00853,['1.16.1.4'],1.0079
59,R00105,C00004 -> C00005,['2.7.1.86'],79.9799
60,R00107,C00541 -> C00992,['1.16.1.5'],18.0153
61,R00111,C00327 -> C05933,"['1.14.13.165', '1.14.13.39']",15.0147
62,R00111,C00533 -> C05933,"['1.14.13.165', '1.14.13.39']",160.1943
63,R00112,C00005 -> C00006,"['1.6.1.1', '1.6.1.2', '1.6.1.3']",1.008
64,R00114,C00025 -> C00026,"['1.4.1.14', '1.4.1.13']",1.0312
65,R00114,C00025 -> C00064,"['1.4.1.14', '1.4.1.13']",0.9848
66,R00115,C00051 -> C00127,['1.8.1.7'],305.3076
67,R00119,C00006 -> C00153,"['3.2.2.6', '2.4.99.20']",622.2883
68,R00120,C00051 -> C00127,['1.8.3.3'],305.3076
69,R00129,C00004 -> C04856,['4.2.1.93'],18.0153
70,R00130,C00010 -> C00882,"['2.7.7.3', '2.7.1.24']",79.9799
71,R00139,C11038 -> C11039,['2.7.4.6'],79.9799
72,R00140,C03997 -> C11038,['2.7.4.12'],79.9799
73,R00155,C00015 -> C00105,"['3.6.1.5', '3.6.1.6']",79.9799
74,R00156,C00015 -> C00075,"['2.7.4.3', '2.7.4.6']",79.9799
75,R00157,C00015 -> C00075,['2.7.4.10'],79.9799
76,R00158,C00015 -> C00105,"['6.3.2.1', '2.7.4.4', '2.7.4.14', '2.7.4.22']",79.9799
77,R00159,C00015 -> C00075,"['3.6.1.39', '3.6.1.5']",79.9799
78,R00160,C00016 -> C00061,"['3.6.1.18', '3.6.1.9', '3.6.1.13', '3.1.4.1']",329.2059
79,R00161,C00016 -> C00061,"['2.7.1.26', '2.7.7.2']",329.2059
80,R00173,C00018 -> C00250,['3.1.3.74'],79.9799
81,R00174,C00018 -> C00250,['2.7.1.35'],79.9799
82,R00175,C00019 -> C00263,['3.3.1.2'],279.3182
83,R00175,C00019 -> C00170,['3.3.1.2'],101.1039
84,R00177,C00019 -> C00073,['2.5.1.6'],249.2261
85,R00178,C00019 -> C01137,['4.1.1.50'],43.0016
86,R00179,C00019 -> C01234,['4.4.1.14'],297.3335
87,R00179,C00019 -> C00170,['4.4.1.14'],101.1039
88,R00180,C00019 -> C02926,['2.5.1.4'],297.3335
89,R00180,C00019 -> C00170,['2.5.1.4'],101.1039
90,R00192,C00021 -> C00155,['3.3.1.1'],249.226
91,R00192,C00021 -> C00212,['3.3.1.1'],117.1695
92,R00193,C00021 -> C03431,['3.5.4.28'],0.9848
93,R00194,C00021 -> C03539,"['3.2.2.9', '3.2.2.30']",117.1114
94,R00194,C00021 -> C00147,"['3.2.2.9', '3.2.2.30']",249.2841
95,R00195,C00022 -> C06393,['4.3.1.15'],16.0457
96,R00196,C00022 -> C00186,['1.1.2.3'],2.0158
97,R00197,C00022 -> C00256,['1.1.2.4'],2.0158
98,R00198,C00022 -> C00256,['1.1.2.5'],2.0158
99,R00199,C00022 -> C00074,['2.7.9.2'],79.9799
100,R00200,C00022 -> C00074,['2.7.1.40'],79.9799
101,R00203,C00022 -> C00546,"['1.2.1.21', '1.2.1.23', '1.2.1.22']",15.9994
102,R00205,C00022 -> C00546,['1.2.1.49'],15.9994
103,R00206,C00022 -> C00074,['2.7.9.1'],79.9799
104,R00207,C00022 -> C00227,['1.2.3.3'],51.9698
105,R00208,C00022 -> C00074,['3.1.3.60'],79.9799
106,R00209,C00022 -> C00024,"['1.8.1.4', '2.3.1.12', '1.2.4.1']",721.5087
107,R00209,C00010 -> C00024,"['1.8.1.4', '2.3.1.12', '1.2.4.1']",42.0367
108,R00210,C00010 -> C00024,['1.2.1.51'],42.0367
109,R00211,C00022 -> C00024,['1.2.3.6'],721.5087
110,R00211,C00010 -> C00024,['1.2.3.6'],42.0367
111,R00212,C00022 -> C00024,['2.3.1.54'],721.5087
112,R00212,C00010 -> C00024,['2.3.1.54'],42.0367
113,R00212,C00022 -> C00058,['2.3.1.54'],42.0367
114,R00213,C00022 -> C03015,['4.3.1.13'],60.0552
115,R00214,C00022 -> C00149,"['1.1.1.39', '1.1.1.38']",46.0253
116,R00215,C00022 -> C00497,"['1.1.1.83', '4.1.1.73', '1.1.1.93']",46.0253
117,R00216,C00022 -> C00149,['1.1.1.40'],46.0253
118,R00217,C00022 -> C00036,"['4.1.1.3', '1.1.1.38', '1.1.1.40']",44.0095
119,R00218,C00022 -> C03248,['4.1.1.78'],25.9942
120,R00220,C00022 -> C00065,"['4.3.1.19', '4.3.1.17']",17.0305
121,R00221,C00022 -> C00740,['4.3.1.18'],17.0305
122,R00223,C00022 -> C00716,['4.3.1.15'],17.0305
123,R00224,C00022 -> C00084,['4.1.1.1'],44.0095
124,R00226,C00022 -> C06010,['2.2.1.6'],44.0525
125,R00227,C00024 -> C00033,['3.1.2.1'],749.5188
126,R00227,C00010 -> C00024,['3.1.2.1'],42.0367
127,R00228,C00010 -> C00024,"['1.1.1.1', '1.2.1.10', '1.2.1.87']",42.0367
128,R00228,C00024 -> C00084,"['1.1.1.1', '1.2.1.10', '1.2.1.87']",765.5182
129,R00229,C00024 -> C00033,['6.2.1.13'],749.5188
130,R00229,C00010 -> C00024,['6.2.1.13'],42.0367
131,R00230,C00010 -> C00024,['2.3.1.8'],42.0367
132,R00230,C00024 -> C00227,['2.3.1.8'],669.5389
133,R00233,C00024 -> C00083,['4.1.1.9'],44.0095
134,R00234,C00010 -> C00024,['2.3.1.88'],42.0367
135,R00235,C00024 -> C00033,['6.2.1.1'],749.5188
136,R00235,C00010 -> C00024,['6.2.1.1'],42.0367
137,R00236,C00024 -> C05993,['6.2.1.1'],420.3129
138,R00236,C00010 -> C00024,['6.2.1.1'],42.0367
139,R00237,C00022 -> C01011,"['4.1.3.25', '4.1.3.24']",809.5708
140,R00237,C00024 -> C01011,"['4.1.3.25', '4.1.3.24']",88.0621
141,R00238,C00010 -> C00024,['2.3.1.9'],42.0367
142,R00238,C00024 -> C00332,['2.3.1.9'],42.0367
143,R00239,C00025 -> C03287,"['2.7.2.11', '1.2.1.41']",79.9799
144,R00243,C00025 -> C00026,"['1.4.1.2', '1.4.1.3', '1.4.1.4']",1.0312
145,R00245,C00025 -> C01165,"['1.2.1.88', '1.5.5.2']",15.9994
146,R00248,C00025 -> C00026,"['1.4.1.13', '1.4.1.3', '1.4.1.14', '1.4.1.4']",1.0312
147,R00250,C00025 -> C00026,['1.4.3.11'],1.0312
148,R00251,C00025 -> C01879,['3.5.2.9'],18.0153
149,R00253,C00025 -> C00064,['6.3.1.2'],0.9848
150,R00254,C00025 -> C05829,['3.5.1.87'],43.0247
151,R00256,C00025 -> C00064,"['6.3.5.5', '3.5.1.38', '1.4.7.1', '4.3.3.6', '6.3.4.2', '6.3.5.4', '3.5.1.2', '6.3.5.2', '1.4.1.13']",0.9848
152,R00257,C00025 -> C00064,['6.3.5.1'],0.9848
153,R00258,C00025 -> C00026,"['2.6.1.44', '2.6.1.66', '2.6.1.4', '2.6.1.2']",1.0312
154,R00258,C00022 -> C00041,"['2.6.1.44', '2.6.1.66', '2.6.1.4', '2.6.1.2']",1.0311
155,R00259,C00010 -> C00024,"['2.3.1.35', '2.3.1.1', '4.3.2.1']",42.0367
156,R00259,C00025 -> C00624,"['2.3.1.35', '2.3.1.1', '4.3.2.1']",42.0366
157,R00260,C00025 -> C00217,['5.1.1.3'],0.0
158,R00261,C00025 -> C00334,['4.1.1.15'],44.0095
159,R00262,C00025 -> C03618,['5.4.99.1'],0.0
160,R00264,C00026 -> C00433,"['1.2.1.26', '1.2.1.3']",15.9994
161,R00265,C00010 -> C00091,['1.2.1.52'],100.0728
162,R00267,C00026 -> C00311,['1.1.1.42'],46.0254
163,R00268,C00026 -> C05379,['1.1.1.42'],44.0095
164,R00269,C00026 -> C00940,"['3.5.1.111', '3.5.1.3']",0.9847
165,R00271,C00010 -> C00024,['2.3.3.14'],42.0367
166,R00271,C00024 -> C01251,['2.3.3.14'],603.4207
167,R00271,C00026 -> C01251,['2.3.3.14'],60.052
168,R00272,C00026 -> C00232,['4.1.1.71'],44.0095
169,R00274,C00051 -> C00127,['1.11.1.9'],305.3076
170,R00277,C00018 -> C00647,['1.4.3.5'],1.0311
171,R00278,C00018 -> C00627,['1.4.3.5'],2.0158
172,R00279,C00026 -> C00217,"['1.4.3.7', '1.4.3.15']",1.0312
173,R00282,C00005 -> C00006,['1.6.99.1'],1.008
174,R00286,C00029 -> C00167,['1.1.1.22'],13.9835
175,R00287,C00029 -> C00105,"['3.6.1.8', '3.6.1.9', '3.6.1.45', '3.1.4.1']",242.1205
176,R00287,C00029 -> C00103,"['3.6.1.8', '3.6.1.9', '3.6.1.45', '3.1.4.1']",306.166
177,R00289,C00029 -> C00103,"['2.7.7.64', '2.7.7.9']",306.166
178,R00291,C00029 -> C00052,['5.1.3.2'],0.0
179,R00292,C00015 -> C00029,"['2.4.1.1', '2.4.1.11']",162.1406
180,R00293,C00029 -> C04089,['4.2.1.76'],18.0153
181,R00294,C00533 -> C00887,['1.7.2.5'],14.0067
182,R00297,C00022 -> C00256,['1.1.99.6'],2.0158
183,R00298,C00026 -> C03196,['1.1.99.2'],2.0159
184,R00299,C00031 -> C00092,"['2.7.1.1', '2.7.1.2']",79.9799
185,R00300,C00031 -> C00198,"['1.1.1.121', '1.1.1.118']",2.0159
186,R00301,C00031 -> C03107,['1.1.1.119'],2.0159
187,R00302,C00031 -> C02779,['1.1.3.10'],2.0159
188,R00303,C00031 -> C00092,"['3.1.3.9', '3.1.3.58']",79.9799
189,R00304,C00031 -> C00103,['3.1.3.10'],79.9799
190,R00305,C00031 -> C00198,['1.1.5.9'],2.0159
191,R00306,C00031 -> C00185,"['3.2.1.74', '3.2.1.21']",162.1406
192,R00307,C00031 -> C00095,['5.3.1.5'],0.0
193,R00310,C00032 -> C02191,['4.99.1.1'],53.8291
194,R00311,C00032 -> C00500,['1.14.99.3'],33.841
195,R00315,C00033 -> C00227,"['2.7.2.15', '2.7.2.1']",79.9799
196,R00316,C00033 -> C05993,['6.2.1.1'],329.2059
197,R00317,C00033 -> C00227,['3.6.1.7'],79.9799
198,R00318,C00033 -> C05682,['3.11.1.2'],79.9799
199,R00319,C00033 -> C00186,['1.13.12.4'],30.0259
200,R00320,C00033 -> C00227,['2.7.2.12'],79.9799
201,R00321,C00033 -> C06244,['3.5.1.4'],0.9848
202,R00322,C00033 -> C05993,['3.6.1.20'],329.2059
203,R00324,C00033 -> C02132,['3.7.1.6'],70.0467
204,R00324,C00022 -> C02132,['3.7.1.6'],42.0366
205,R00325,C00022 -> C02614,['4.1.3.22'],60.0519
206,R00325,C00033 -> C02614,['4.1.3.22'],88.062
207,R00326,C00033 -> C00084,['1.2.99.6'],15.9994
208,R00327,C00031 -> C02655,['3.1.1.33'],42.0367
209,R00327,C00033 -> C02655,['3.1.1.33'],162.1406
210,R00328,C00035 -> C00144,"['3.6.1.42', '3.6.1.5', '3.6.1.6']",79.9799
211,R00330,C00035 -> C00044,"['2.7.4.3', '2.7.4.6']",79.9799
212,R00332,C00035 -> C00144,['2.7.4.8'],79.9799
213,R00335,C00035 -> C00044,"['3.6.5.2', '3.6.5.6', '3.6.5.3', '3.6.1.5', '3.6.5.4', '3.6.5.5', '3.6.5.1']",79.9799
214,R00336,C00035 -> C01228,['3.1.7.2'],159.9598
215,R00337,C00035 -> C00394,['3.2.1.42'],162.1406
216,R00337,C00031 -> C00394,['3.2.1.42'],425.1852
217,R00338,C00036 -> C00209,['3.7.1.1'],42.0367
218,R00338,C00033 -> C00036,['3.7.1.1'],72.0196
219,R00339,C00036 -> C00898,['4.2.1.32'],18.0152
220,R00340,C00036 -> C02107,['4.2.1.81'],18.0152
221,R00341,C00036 -> C00074,['4.1.1.49'],35.9704
222,R00342,C00036 -> C00149,"['1.1.1.37', '1.1.1.299']",2.0158
223,R00343,C00036 -> C00149,"['1.1.1.299', '1.1.1.82']",2.0158
224,R00344,C00022 -> C00036,['6.4.1.1'],44.0095
225,R00344,C00036 -> C00288,['6.4.1.1'],71.0548
226,R00345,C00036 -> C00074,['4.1.1.31'],35.9704
227,R00346,C00036 -> C00074,['4.1.1.38'],35.9704
228,R00347,C00036 -> C03961,['4.3.1.20'],17.0305
229,R00348,C00036 -> C02362,['3.5.1.3'],0.9848
230,R00350,C00036 -> C04115,['4.1.3.17'],88.062
231,R00350,C00022 -> C04115,['4.1.3.17'],132.0715
232,R00351,C00010 -> C00024,"['2.3.3.3', '2.3.3.1']",42.0367
233,R00351,C00036 -> C00158,"['2.3.3.3', '2.3.3.1']",60.0519
234,R00352,C00010 -> C00024,['2.3.3.8'],42.0367
235,R00352,C00036 -> C00158,['2.3.3.8'],60.0519
236,R00353,C00022 -> C00036,['2.1.3.1'],44.0095
237,R00353,C00024 -> C00083,['2.1.3.1'],44.0095
238,R00354,C00036 -> C00566,['4.1.3.34'],809.5708
239,R00354,C00024 -> C00566,['4.1.3.34'],132.0716
240,R00355,C00025 -> C00026,['2.6.1.1'],1.0312
241,R00355,C00036 -> C00049,['2.6.1.1'],1.0311
242,R00357,C00036 -> C00049,"['1.4.3.2', '1.4.3.16']",1.0311
243,R00359,C00036 -> C00402,"['1.4.3.1', '1.4.3.15']",1.0311
244,R00360,C00036 -> C00149,['1.1.5.4'],2.0158
245,R00361,C00036 -> C00149,['1.1.5.4'],2.0158
246,R00362,C00033 -> C00158,"['2.8.3.10', '4.1.3.6', '4.1.3.34']",132.0715
247,R00362,C00036 -> C00158,"['2.8.3.10', '4.1.3.6', '4.1.3.34']",60.0519
248,R00363,C00036 -> C03981,['5.3.2.2'],0.0
249,R00364,C00037 -> C00048,['1.4.2.1'],1.0311
250,R00365,C00037 -> C00048,"['1.4.1.10', '1.4.1.1']",1.0311
251,R00366,C00037 -> C00048,"['1.4.3.19', '1.4.3.3']",1.0311
252,R00367,C00019 -> C00021,"['2.1.1.162', '2.1.1.20', '2.1.1.156']",14.0266
253,R00367,C00037 -> C00213,"['2.1.1.162', '2.1.1.20', '2.1.1.156']",14.0266
254,R00368,C00037 -> C03790,['1.5.1.22'],72.0627
255,R00368,C00022 -> C03790,['1.5.1.22'],59.0672
256,R00369,C00022 -> C00041,"['2.6.1.4', '2.6.1.2', '2.6.1.40', '2.6.1.45', '2.6.1.44', '2.6.1.51']",1.0311
257,R00369,C00037 -> C00048,"['2.6.1.4', '2.6.1.2', '2.6.1.40', '2.6.1.45', '2.6.1.44', '2.6.1.51']",1.0311
258,R00371,C00010 -> C00024,['2.3.1.29'],42.0367
259,R00371,C00037 -> C03508,['2.3.1.29'],42.0367
260,R00372,C00025 -> C00026,"['2.6.1.4', '2.6.1.2', '2.6.1.40', '2.6.1.45', '2.6.1.44', '2.6.1.51']",1.0312
261,R00372,C00037 -> C00048,"['2.6.1.4', '2.6.1.2', '2.6.1.40', '2.6.1.45', '2.6.1.44', '2.6.1.51']",1.0311
262,R00373,C00036 -> C00049,['2.6.1.35'],1.0311
263,R00373,C00037 -> C00048,['2.6.1.35'],1.0311
264,R00374,C00037 -> C00177,['1.4.99.5'],49.0492
265,R00393,C00024 -> C00033,['2.8.3.8'],749.5188
266,R00396,C00022 -> C00041,['1.4.1.1'],1.0311
267,R00397,C00041 -> C00049,['4.1.1.12'],44.0095
268,R00398,C00022 -> C03210,['1.5.1.17'],73.0937
269,R00398,C00041 -> C03210,['1.5.1.17'],72.0626
270,R00400,C00022 -> C00041,['2.6.1.12'],1.0311
271,R00400,C00036 -> C00049,['2.6.1.12'],1.0311
272,R00401,C00041 -> C00133,['5.1.1.1'],0.0
273,R00402,C00042 -> C00122,['1.3.1.6'],2.0158
274,R00405,C00010 -> C00091,['6.2.1.5'],100.0728
275,R00405,C00042 -> C00091,['6.2.1.5'],749.5189
276,R00406,C00149 -> C04348,['2.8.3.22'],749.5189
277,R00406,C00042 -> C00091,['2.8.3.22'],749.5189
278,R00407,C00010 -> C00091,['3.1.2.3'],100.0728
279,R00407,C00042 -> C00091,['3.1.2.3'],749.5189
280,R00408,C00042 -> C00122,"['1.3.5.4', '1.3.5.1', '1.3.99.1']",2.0158
281,R00409,C00042 -> C04593,['4.1.3.30'],88.0621
282,R00409,C00022 -> C04593,['4.1.3.30'],118.088
283,R00410,C00164 -> C00332,['2.8.3.5'],749.5189
284,R00410,C00042 -> C00091,['2.8.3.5'],749.5189
285,R00411,C00042 -> C05931,['3.5.1.96'],129.114
286,R00411,C00025 -> C05931,['3.5.1.96'],100.0727
287,R00412,C00042 -> C00122,"['1.3.5.4', '1.3.5.1', '1.3.99.1']",2.0158
288,R00414,C00043 -> C00645,"['5.1.3.14', '3.2.1.183', '2.7.1.60']",386.1459
289,R00414,C00015 -> C00043,"['5.1.3.14', '3.2.1.183', '2.7.1.60']",203.1925
290,R00416,C00043 -> C04501,"['2.3.1.157', '2.7.7.23']",306.166
291,R00417,C00015 -> C00043,['2.4.1.94'],203.1925
292,R00418,C00043 -> C00203,"['5.1.3.2', '5.1.3.7']",0.0
293,R00420,C00043 -> C01170,['5.1.3.14'],0.0
294,R00421,C00043 -> C04573,['1.1.1.136'],13.9835
295,R00424,C00044 -> C00058,['3.5.4.16'],477.155
296,R00424,C00044 -> C04895,['3.5.4.16'],28.0101
297,R00425,C00044 -> C00058,"['3.5.4.25', '4.1.99.12']",477.155
298,R00425,C00044 -> C01304,"['3.5.4.25', '4.1.99.12']",169.9546
299,R00426,C00044 -> C00144,"['3.6.1.19', '3.6.1.8', '3.6.1.66']",159.9598
300,R00428,C00044 -> C05922,['3.5.4.16'],18.0153
301,R00429,C00044 -> C04494,['2.7.6.5'],159.9598
302,R00430,C00035 -> C00044,['2.7.1.40'],79.9799
303,R00430,C00022 -> C00074,['2.7.1.40'],79.9799
304,R00431,C00035 -> C00044,['4.1.1.32'],79.9799
305,R00431,C00036 -> C00074,['4.1.1.32'],35.9704
306,R00432,C00010 -> C00091,"['6.2.1.5', '6.2.1.4']",100.0728
307,R00432,C00042 -> C00091,"['6.2.1.5', '6.2.1.4']",749.5189
308,R00434,C00044 -> C00942,"['4.6.1.2', '4.6.1.1']",177.9751
309,R00445,C00047 -> C04092,['1.4.1.15'],19.0464
310,R00446,C00047 -> C04076,['1.4.1.18'],1.0312
311,R00447,C00047 -> C03239,['1.4.3.14'],1.0312
312,R00448,C00047 -> C01028,['1.14.13.59'],15.9994
313,R00449,C00047 -> C00990,['1.13.12.2'],30.026
314,R00451,C00047 -> C00680,"['4.1.1.20', '2.7.2.4']",44.0095
315,R00452,C00047 -> C04020,['1.5.1.16'],72.0626
316,R00452,C00022 -> C04020,['1.5.1.16'],130.1881
317,R00453,C00022 -> C00041,['2.6.1.71'],1.0311
318,R00453,C00047 -> C04076,['2.6.1.71'],1.0312
319,R00457,C00025 -> C00026,['2.6.1.36'],1.0312
320,R00457,C00047 -> C04076,['2.6.1.36'],1.0312
321,R00458,C00033 -> C02727,['3.5.1.17'],128.1722
322,R00458,C00047 -> C02727,['3.5.1.17'],42.0366
323,R00460,C00047 -> C00739,"['5.1.1.5', '5.1.1.9']",0.0
324,R00461,C00047 -> C01142,['5.4.3.2'],0.0
325,R00462,C00047 -> C01672,['4.1.1.18'],44.0095
326,R00463,C00047 -> C02837,['3.5.2.11'],18.0153
327,R00465,C00048 -> C00160,"['1.1.1.79', '1.1.1.81']",2.0159
328,R00466,C00048 -> C00209,['1.2.3.5'],15.9994
329,R00468,C00048 -> C00313,['1.2.1.17'],765.5182
330,R00468,C00010 -> C00313,['1.2.1.17'],72.0196
331,R00469,C00048 -> C00603,['3.5.1.116'],60.0552
332,R00470,C00022 -> C01127,"['4.1.3.42', '4.1.2.14', '4.1.3.16']",74.0354
333,R00470,C00048 -> C01127,"['4.1.3.42', '4.1.2.14', '4.1.3.16']",88.062
334,R00471,C00048 -> C05946,['4.1.3.16'],88.062
335,R00471,C00022 -> C05946,['4.1.3.16'],74.0354
336,R00472,C00024 -> C00149,['2.3.3.9'],675.4834
337,R00472,C00010 -> C00024,['2.3.3.9'],42.0367
338,R00472,C00048 -> C00149,['2.3.3.9'],60.0519
339,R00473,C00024 -> C04348,['4.1.3.24'],74.0355
340,R00473,C00048 -> C04348,['4.1.3.24'],809.5708
341,R00474,C00048 -> C03217,['2.2.1.5'],102.0886
342,R00475,C00048 -> C00160,['1.1.3.15'],2.0159
343,R00476,C00048 -> C00160,['1.1.99.14'],2.0159
344,R00477,C00048 -> C01990,['4.1.3.13'],132.0715
345,R00477,C00036 -> C01990,['4.1.3.13'],74.0354
346,R00478,C00048 -> C03961,['4.1.3.14'],75.0666
347,R00478,C00037 -> C03961,['4.1.3.14'],74.0355
348,R00479,C00042 -> C00311,['4.1.3.1'],74.0355
349,R00479,C00048 -> C00311,['4.1.3.1'],118.088
350,R00480,C00049 -> C03082,"['4.1.1.20', '2.7.2.4', '1.1.1.3']",79.9799
351,R00481,C00049 -> C05840,"['1.4.3.16', '2.5.1.72']",2.0159
352,R00482,C00049 -> C00152,['6.3.1.4'],0.9848
353,R00483,C00049 -> C00152,"['6.3.5.4', '6.3.1.1']",0.9848
354,R00484,C00049 -> C00438,['3.5.1.7'],43.0247
355,R00485,C00049 -> C00152,"['3.5.1.1', '3.5.1.38', '3.5.5.4']",0.9848
356,R00486,C00049 -> C02512,"['3.5.5.4', '4.2.1.65']",19.0001
357,R00487,C00049 -> C01042,['2.3.1.17'],42.0367
358,R00487,C00010 -> C00024,['2.3.1.17'],42.0367
359,R00488,C00049 -> C01042,['3.5.1.15'],42.0367
360,R00488,C00033 -> C01042,['3.5.1.15'],115.0874
361,R00489,C00049 -> C00099,"['4.1.1.15', '4.1.1.11']",44.0095
362,R00490,C00049 -> C00122,['4.3.1.1'],17.0305
363,R00491,C00049 -> C00402,['5.1.1.13'],0.0
364,R00494,C00051 -> C01419,"['2.3.2.2', '3.4.19.13']",129.114
365,R00494,C00025 -> C00051,"['2.3.2.2', '3.4.19.13']",160.1942
366,R00497,C00037 -> C00051,['6.3.2.3'],232.2569
367,R00497,C00051 -> C00669,['6.3.2.3'],57.0513
368,R00499,C00042 -> C03174,['3.1.2.13'],289.3082
369,R00499,C00051 -> C03174,['3.1.2.13'],100.0727
370,R00502,C00052 -> C00446,"['2.7.7.64', '2.7.7.10']",306.166
371,R00503,C00015 -> C00052,"['2.4.1.22', '2.4.1.90', '2.4.1.38']",162.1406
372,R00503,C00052 -> C00243,"['2.4.1.22', '2.4.1.90', '2.4.1.38']",224.0053
373,R00503,C00031 -> C00243,"['2.4.1.22', '2.4.1.90', '2.4.1.38']",162.1406
374,R00504,C00043 -> C04739,['2.7.8.18'],242.1205
375,R00504,C00052 -> C00105,['2.7.8.18'],242.1205
376,R00505,C00052 -> C03733,['5.4.99.9'],0.0
377,R00507,C00053 -> C00054,"['3.6.1.9', '3.6.2.2', '3.1.4.1']",80.0632
378,R00508,C00053 -> C00224,"['3.1.3.57', '3.1.3.25', '3.1.3.7']",79.9799
379,R00509,C00053 -> C00224,"['2.7.7.4', '2.7.1.25']",79.9799
380,R00510,C00055 -> C00380,['3.2.2.10'],212.0945
381,R00510,C00055 -> C00117,['3.2.2.10'],93.0867
382,R00511,C00055 -> C00475,"['3.1.4.16', '3.1.3.5', '3.1.3.91', '3.6.1.45', '3.1.3.6']",79.9799
383,R00512,C00055 -> C00112,"['2.7.4.25', '6.3.2.1', '2.7.4.14']",79.9799
384,R00513,C00055 -> C00475,['2.7.1.48'],79.9799
385,R00514,C00055 -> C00112,['3.6.1.5'],79.9799
386,R00515,C00055 -> C00063,"['3.6.1.8', '3.6.1.65']",159.9598
387,R00516,C00055 -> C00475,['2.7.1.48'],79.9799
388,R00516,C00015 -> C00075,['2.7.1.48'],79.9799
389,R00517,C00035 -> C00044,['2.7.1.48'],79.9799
390,R00517,C00055 -> C00475,['2.7.1.48'],79.9799
391,R00518,C00058 -> C02405,['2.7.2.6'],79.9799
